"Name","Disc. Date","mmax","R.A.","Dec."
"SN2011am","2011/02/27","14.23","12:16:26.00,12:16:26.4","-43:19:20.0,-43:19:19.99,-43:19:21.36"
"SN2013ge","2013/11/08","14.25","10:34:48.46","+21:39:41.9,+21:39:41.90"
"SN2008hv","2008/12/02","14.26","09:07:34.06,09:07:34.066,09:07:34.08","+03:23:32.1,+03:23:32.18,+03:23:32.64,+03:23:32.10"
"SN2004dk","2004/08/01","14.26","16:21:48.93","-02:16:17.3,-02:16:17.29"
"SN2009fw","2009/06/06","14.27","20:32:18.50,20:32:18.48","-19:43:59.6,-19:44:00.24,-19:43:59.59"
"SN2009jf","2009/09/27","14.3","23:04:52.98","+12:19:59.5,+12:19:59.48"
"SN2004bd","2004/04/07","14.3","11:39:42.18","+31:54:31.8,+31:54:31.79"
"SN2008hy","2008/12/06","14.3","03:45:08.45,03:45:08.256","+76:39:55.5,+76:39:55.08,+76:39:55.51"
"SN2003hx","2003/09/12","14.3","05:46:46.97","-16:47:00.6,-16:47:00.60"
"SN2007rw","2007/11/29","14.3","12:38:03.64","-02:15:40.1,-02:15:40.10"
"PSN J22154081-4551086","2013/03/13","14.3","22:15:40.81","-45:51:08.6"
"SN2007C","2007/01/07","14.31","13:08:49.30,13:08:49.32","-06:47:01.0,-06:47:01.00,-06:47:00.3"
"SN2009ls","2009/11/23","14.31","10:51:14.58,10:51:14.57","+05:50:58.8,+05:50:58.88"
"SN2004S","2004/02/03","14.32","06:45:43.50","-31:13:52.5,-31:13:52.50"
"SN2009bw","2009/03/27","14.33","03:56:06.92","+72:55:40.9,+72:55:40.91"
"SN2009aj","2009/02/24","14.33","13:56:45.33","-48:29:36.2,-48:29:36.20"
"MLS110301:144813-120124","2011/03/01","14.34","14:48:13.30,14:48:13.2","-12:01:24.5,-12:01:24.6"
"SN2012ca","2012/04/25","14.37","18:41:07.25,18:41:07.06","-41:47:38.4,-41:47:38.40,-41:47:37.4"
"SN2012Z","2012/01/29","14.37","03:22:05.3964,03:22:05.35","-15:23:14.939,-15:23:15.6,-15:23:15.61"
"SN2006bh","2006/04/02","14.38","22:40:16.10,22:40:16.08","-66:29:06.3,-66:29:06.36,-66:29:06.29"
"SN2007pk","2007/11/10","14.38","01:31:47.07","+33:36:54.1,+33:36:54.11"
"SN2009an","2009/02/27","14.4","12:22:47.4,12:22:47.385,12:22:47.28,12:22:47.47,12:22:47.40","+65:51:04,+65:51:04.60,+65:51:05.04,+65:51:04.5,+65:51:04.21"
"SN2008if","2008/12/12","14.4","09:20:23.47","-07:52:33.1,-07:52:33.10"
"SN2003G","2003/01/08","14.4","02:08:28.13,02:08:28.138","+06:23:51.9,+06:23:51.90,+06:23:51.99"
"SN2006dy","2006/07/25","14.4","14:22:11.45,14:22:11.55","+13:55:14.2,+13:55:14.20,+13:55:13.8"
"PSN J17194328-7721305","2013/08/25","14.4","17:19:43.27,17:19:43.28","-77:21:30.4,-77:21:30.5"
"SN2013fe","2013/08/13","14.4","03:03:53.25","-39:24:20.2,-39:24:20.20"
"SNhunt103","2012/01/16","14.4","07:22:53.46,07:22:53.52","-62:02:36.0,-62:02:35.88"
"SN2007uy","2007/12/31","14.42","09:09:35.40,09:09:35.28,09:09:35.35","+33:07:09.9,+33:07:09.2,+33:07:08.90"
"SN2012gx","2012/11/18","14.43","00:38:01.75,00:38:01.7328,00:38:01.7496","-13:51:39.5,-13:51:39.49,-13:51:39.6"
"SN2008D","2008/01/11","14.44","09:09:30.625,09:09:30.65","+33:08:20.16,+33:08:20.3,+33:08:20.29"
"SN2013ex","2013/08/19","14.44","05:32:46.62,05:32:46.608","-14:02:45.4,-14:02:45.38,-14:02:46.32"
"SN2006bp","2006/04/09","14.49","11:53:55.74","+52:21:09.4,+52:21:09.40"
"SN2012V","2012/01/25","14.49","19:47:10.32","+59:54:59.9,+59:54:59.90"
"SN2003gf","2003/06/24","14.5","22:13:40.94","-21:44:03.3,-21:44:03.30"
"SN2004ab","2004/02/21","14.5","13:16:58.18","-16:37:52.7,-16:37:52.72"
"SN2004de","2004/07/15","14.5","09:54:27.48","-25:41:34.7,-25:41:34.69"
"SN2005ax","2005/03/26","14.5","05:02:37.19,05:02:38.11","+86:13:20.9,+86:13:22.2,+86:13:22.19"
"SN2008db","2008/06/13","14.5","00:14:39.36","-07:19:23.5,-07:19:23.48"
"SN2009dq","2009/04/24","14.5","10:08:49.94","-67:01:57.3,-67:01:57.29"
"SN2011fh","2011/08/24","14.5","12:56:14.01","-29:29:54.8,-29:29:54.82"
