"Name","Disc. Date","R.A.","Dec."
"ESSENCE p455","2005/11/30","02:11:00.02,02:11:00.014","-04:09:37.6,-04:09:37.59,-04:09:37.601"
"SN2006tk","2006/12/15","01:07:52.642,01:07:52.64,01:07:52.640","+00:27:55.30,+00:27:55.3,+00:27:55.293"
"SN2006tn","2006/12/17","02:05:36.025,02:05:36.02,02:05:36.019","-05:08:46.28,-05:08:46.3,-05:08:46.272"
"SN2006tu","2006/12/19","02:29:56.537,02:29:56.54,02:29:56.534","-07:59:50.79,-07:59:50.8,-07:59:50.78,-07:59:50.850"
"SN2006tw","2006/12/21","01:08:54.227,01:08:54.23","+00:17:56.50,+00:17:56.5,+00:17:56.51,+00:17:56.510"
"SN2007ug","2007/11/11","02:09:36.85,02:09:36.850,02:09:36.845","-04:51:52.2,-04:51:52.20,-04:51:52.24,-04:51:52.280"
"ESSENCE f123","2003/11/27","02:09:57.282","-03:32:26.609"
"ESSENCE g142","2004/10/07","23:28:37.70,23:28:37.713","-08:45:04.0,-08:45:04.01,-08:45:03.948"
"ESSENCE g225","2004/10/13","23:27:15.69,23:27:15.685","-09:27:59.8,-09:27:59.76,-09:27:59.728"
"SN2002iy","2002/11/05","02:30:40.00,02:30:40.022","-08:11:40.5,-08:11:40.50,-08:11:40.49,-08:11:40.469"
"SN2003jo","2003/10/22","23:25:24.03,23:25:24.038,23:25:24.047","-09:26:00.6,-09:26:00.63,-09:26:00.60,-09:26:00.69,-09:26:00.659"
"SN2003km","2003/11/19","02:30:09.00,02:30:01.00,02:30:09.008,02:30:09.001","-09:04:35.9,-09:04:35.89,-09:04:35.90,-09:04:35.99,-09:04:35.621"
"SN2004hd","2004/11/14","02:08:48.21,02:08:48.217","-04:26:10.4,-04:26:10.42,-04:26:10.39,-04:26:10.319"
"SN2004he","2004/11/14","02:29:48.79,02:29:48.797","-08:20:45.9,-08:20:45.94,-08:20:45.89,-08:20:45.875"
"ESSENCE n256","2005/11/08","02:28:09.01,02:28:09.012","-07:47:49.6,-07:47:49.56,-07:47:49.616"
"SN2006tj","2006/12/13","01:09:23.282,01:09:23.28,01:09:23.284","+00:42:42.26,+00:42:42.3,+00:42:42.30,+00:42:42.313"
"SN2007tl","2007/10/10","01:11:04.91,01:11:04.910,01:11:04.912","-00:15:43.3,-00:15:43.31,-00:15:43.33,-00:15:43.364"
"SN2007ua","2007/11/07","01:10:31.939,01:10:31.944,01:10:31.95,01:10:31.96,01:10:31.955","+00:35:49.58,+00:35:49.578,+00:35:49.4,+00:35:49.42,+00:35:49.45,+00:35:49.434"
"ESSENCE k490","2004/12/05","02:30:24.32,02:30:24.320","-07:53:21.0,-07:53:20.95,-07:53:20.935"
"SN2003lh","2003/12/13","02:10:19.51,02:10:19.518,02:10:19.505","-04:59:32.3,-04:59:32.30,-04:59:32.32,-04:59:32.39,-04:59:32.063"
"SN2004fm","2004/10/11","23:26:58.14,23:26:58.138","-09:37:19.4,-09:37:19.45,-09:37:19.42,-09:37:19.346"
"ESSENCE m027","2005/09/26","01:09:15.01,01:09:15.013","+00:08:14.8,+00:08:14.80,+00:08:14.797"
"ESSENCE n278","2005/11/24","23:28:17.55,23:28:17.550","-09:23:12.4,-09:23:12.38,-09:23:12.360"
"ESSENCE n406","2005/11/22","02:31:19.60,02:31:19.601","-08:45:09.8,-08:45:09.76,-08:45:09.787"
"ESSENCE s380","2006/12/13","02:09:00.048","-05:07:41.787"
"SN2006ma","2006/10/13","01:15:11.653,01:15:11.65,01:15:11.657","-00:28:03.12,-00:28:03.1,-00:28:03.11,-00:28:03.151"
"SN2006mj","2006/10/19","02:09:03.038,02:09:03.04,02:09:03.042","-03:28:27.77,-03:28:27.8,-03:28:27.80,-03:28:27.832"
"SN2006se","2006/11/14","01:14:48.054,01:14:48.05,01:14:48.050","+00:06:39.39,+00:06:39.4,+00:06:39.31,+00:06:39.370"
"SN2006tl","2006/12/15","01:09:17.279,01:09:17.28,01:09:17.282","-00:40:27.97,-00:40:28.0,-00:40:27.98,-00:40:27.967"
"SN2006tr","2006/12/17","02:28:29.535,02:28:29.54,02:28:29.532","-07:53:28.51,-07:53:28.5,-07:53:28.50,-07:53:28.493"
"ESSENCE m087","2004/12/15","02:33:37.004","-08:27:32.462"
"SN2002ja","2002/11/09","23:30:09.67,23:30:09.66,23:30:09.685","-09:35:01.8,-09:35:01.75,-09:35:01.79,-09:35:01.809"
"SN2003li","2003/12/13","02:27:47.29,02:27:47.298,02:27:47.294","-07:33:46.2,-07:33:46.16,-07:33:46.19,-07:33:46.29,-07:33:46.220"
"SN2003lj","2003/12/15","01:12:10.03,01:12:10.038,01:12:10.034","+00:19:51.3,+00:19:51.29,+00:19:51.31,+00:19:51.39,+00:19:51.267"
"SN2004hm","2004/12/07","02:28:03.11,02:28:03.12,02:28:03.110","-07:42:29.7,-07:42:29.70,-07:42:29.656"
"SN2004hs","2004/12/13","02:09:33.69,02:09:33.689","-04:13:04.0,-04:13:03.93,-04:13:04.01,-04:13:03.931"
"ESSENCE m070","2005/09/28","02:33:46.821","-08:08:26.888"
"ESSENCE m158","2005/10/06","23:24:03.53,23:24:03.540","-09:23:18.2,-09:23:18.24,-09:23:18.267"
"ESSENCE p524","2005/11/28","02:30:10.16,02:30:10.156","-08:52:50.8,-08:52:50.84,-08:52:50.856"
"SN2006mm","2006/10/21","01:08:48.661,01:08:48.66,01:08:48.662","+00:17:22.36,+00:17:22.4,+00:17:22.42,+00:17:22.315"
"SN2006tt","2006/12/19","02:10:47.926,02:10:47.93,02:10:47.935","-04:24:56.92,-04:24:56.9,-04:24:56.99,-04:24:56.952"
"SN2007uh","2007/11/13","02:06:05.20,02:06:05.198,02:06:05.200","-04:01:37.5,-04:01:37.49,-04:01:37.51,-04:01:37.458"
"SN2007us","2007/12/07","02:27:54.87,02:27:54.866,02:27:54.863","-08:00:55.2,-08:00:55.19,-08:00:55.24,-08:00:55.479"
"ESSENCE g240","2004/10/09","23:30:41.83,23:30:41.823","-08:34:11.0,-08:34:10.98,-08:34:10.893"
"ESSENCE h300","2004/10/19","02:31:40.67,02:31:40.680","-08:49:03.3,-08:49:03.35,-08:49:03.377"
"ESSENCE k411","2004/11/12","23:26:11.77,23:26:11.781","-08:50:17.5,-08:50:17.50,-08:50:17.355"
"ESSENCE p425","2003/11/23","23:29:56.19,23:29:56.189","-08:34:24.3,-08:34:24.34,-08:34:24.400"
"SN2002jw","2002/12/06","02:30:00.52,02:30:00.539","-08:36:22.4,-08:36:22.41,-08:36:22.39,-08:36:22.561"
"SN2003jm","2003/10/22","02:28:50.93,02:28:50.938,02:28:50.940","-09:09:58.1,-09:09:58.14,-09:09:58.10,-09:09:58.19,-09:09:58.077"
"SN2004hc","2004/11/12","23:24:32.67,23:24:32.664","-08:41:03.5,-08:41:03.55,-08:41:03.52,-08:41:03.574"
"SN2004hk","2004/12/05","23:27:04.38,23:27:04.39,23:27:04.384","-08:38:45.1,-08:38:45.11,-08:38:45.10,-08:38:45.178"
"ESSENCE n326","2005/11/24","23:29:58.59,23:29:58.590","-08:53:12.5,-08:53:12.45,-08:53:12.468"
"ESSENCE p444","2005/11/24","02:06:36.165","-03:41:33.614"
"ESSENCE p459","2005/11/24","02:10:20.082","-04:33:13.440"
"ESSENCE p528","2005/11/30","02:07:04.66,02:07:04.661","-03:28:04.4,-03:28:04.37,-03:28:04.268"
